date,equity,daily_return,position_shares,entry_price,stop_price,strategy_realized_vol,leverage_mult_today
2015-01-05,100000.0,0.0,0.0,,,0.1,1.0
2015-01-06,100000.0,0.0,0.0,,,0.1,1.0
2015-01-07,100000.0,0.0,0.0,,,0.1,1.0
2015-01-08,100000.0,0.0,0.0,,,0.1,1.0
2015-01-09,100000.0,0.0,0.0,,,0.1,1.0
2015-01-12,100000.0,0.0,0.0,,,0.1,1.0
2015-01-13,100000.0,0.0,0.0,,,0.1,1.0
2015-01-14,100000.0,0.0,0.0,,,0.1,1.0
2015-01-15,100000.0,0.0,0.0,,,0.1,1.0
2015-01-16,100000.0,0.0,0.0,,,0.1,1.0
2015-01-20,100000.0,0.0,0.0,,,0.1,1.0
2015-01-21,100000.0,0.0,0.0,,,0.1,1.0
2015-01-22,100000.0,0.0,0.0,,,0.1,1.0
2015-01-23,100000.0,0.0,0.0,,,0.1,1.0
2015-01-26,99875.2587557779,-0.0012474124422209298,1049.0,15.592558703231811,14.639305980689178,0.1,1.0
2015-01-27,99722.62906370027,-0.001528203220487856,1049.0,15.592558703231811,14.639305980689178,0.1,1.0
2015-01-28,99573.67185602052,-0.0014937152086573757,1049.0,15.592558703231811,14.639305980689178,0.1,1.0
2015-01-29,99986.45269975526,0.00414548179293428,1049.0,15.592558703231811,14.639305980689178,0.1,1.0
2015-01-30,102228.68999967439,0.0224254110369555,1049.0,15.592558703231811,14.639305980689178,0.1,1.0
2015-02-02,102750.0427275644,0.0050998670519173395,1049.0,15.592558703231811,14.639305980689178,0.1,1.0
2015-02-03,102701.78922376496,-0.00046962027964680964,1049.0,15.592558703231811,14.639305980689178,0.1,1.0
2015-02-04,102764.72866353852,0.0006128368380848848,1049.0,15.592558703231811,16.47651939907562,0.1,1.0
2015-02-05,103244.12243184907,0.004664964083933132,1049.0,15.592558703231811,16.528917813171965,0.1,1.0
2015-02-06,103264.57870015962,0.00019813494297515888,1049.0,15.592558703231811,17.053375503900668,0.1,1.0
2015-02-09,103069.46383581025,-0.0018894655534876792,1049.0,15.592558703231811,17.167338414326032,0.1,1.0
2015-02-10,103197.44156370027,0.0012416648261011076,1049.0,15.592558703231811,17.23645452559118,0.1,1.0
2015-02-11,103309.68493184907,0.001087656500471601,1049.0,15.592558703231811,17.31995934158675,0.1,1.0
2015-02-12,103416.15796766145,0.0010306200806111665,1049.0,15.592558703231811,17.391963689715674,0.1,1.0
2015-02-13,103660.57475957734,0.0023634294361654096,1049.0,15.592558703231811,17.46636690723092,0.1,1.0
2015-02-17,103324.89507970674,-0.003238257945695877,1049.0,15.592558703231811,17.73387950087062,0.1,1.0
2015-02-18,103216.84940824372,-0.0010456886637016938,1049.0,15.592558703231811,17.738091457704947,0.1,1.0
2015-02-19,103512.1427641855,0.0028609026300912,1049.0,15.592558703231811,17.820932282942753,0.1,1.0
