entry_date,exit_date,entry_price,exit_price,shares,leverage_mult_at_entry,pnl,exit_reason
2015-01-23,2015-08-24,15.419404282569884,23.155821853637697,647.9388505310253,1.0,4997.721951630758,SIGNAL_EXIT
2015-09-11,2015-09-29,26.079552721023557,25.274699237823487,574.7639416484835,1.0,-477.127746211495,SIGNAL_EXIT
2015-10-07,2016-01-05,27.11658992767334,32.31065550613403,534.9165215319567,1.0,2761.107988387307,SIGNAL_EXIT
2016-01-29,2016-02-01,28.627599931716915,28.878591814041137,411.6458118767274,0.6822423138877446,91.43200580067467,SIGNAL_EXIT
2016-03-02,2016-03-08,29.1165871181488,27.86560587501526,474.886925347106,0.7954334609083856,-607.3076481155081,SIGNAL_EXIT
2016-03-15,2016-03-18,28.578549236297604,28.018953884124755,586.8257710213746,1.0,-344.82721821507363,SIGNAL_EXIT
2016-03-28,2016-06-28,29.249219312667844,34.965,561.2504422289196,1.0,3188.3603167361584,SIGNAL_EXIT
2016-07-07,2016-10-31,37.00346582794189,39.01244691467285,529.5334514652752,1.0,1043.1642931202732,SIGNAL_EXIT
2017-01-06,2017-07-03,39.15711803054809,48.590860164642336,528.5172958853366,1.0,4960.214772772096,SIGNAL_EXIT
2017-07-13,2017-08-01,50.28122999191284,49.75569453048706,465.6660947767864,0.9130308481171292,-267.8935859537759,SIGNAL_EXIT
2017-09-14,2017-09-19,49.889840152740476,48.81363673782349,509.53463000127766,1.0,-573.2351471600633,SIGNAL_EXIT
2017-10-06,2017-10-24,48.83078349685668,48.40155076217651,508.8814385979287,1.0,-243.05922229959495,SIGNAL_EXIT
2017-10-30,2018-03-29,54.805250225067134,70.22970304870606,224.33545287238633,0.5,3444.4965972612713,SIGNAL_EXIT
2018-04-18,2018-04-25,75.80823066711424,72.82710152435303,219.2152264652178,0.5902883965471777,-669.4737097059277,SIGNAL_EXIT
2018-04-27,2018-10-05,81.78220098876952,95.803598487854,215.19656007305903,0.6405146430231188,2996.7399043827677,SIGNAL_EXIT
2018-12-04,2018-12-06,87.88780305480957,80.66275625610352,223.89913671979244,0.642078721694359,-1635.7420624815643,SIGNAL_EXIT
2019-01-08,2019-01-30,83.31773156738281,81.06885152435302,222.1193900815923,0.6371755771892251,-517.5268273796455,SIGNAL_EXIT
2019-02-01,2019-02-04,82.02594424438476,81.06885152435302,336.5485141185293,0.9677131101813842,-349.3917343221598,SIGNAL_EXIT
2019-03-04,2019-03-08,84.33425,80.12029998779298,334.3149157607451,1.0,-1435.571754692126,SIGNAL_EXIT
2019-03-12,2019-05-14,83.53344694519042,91.88302347564698,320.0668651665788,1.0,2643.014074285793,SIGNAL_EXIT
2019-06-11,2019-07-30,94.2566609725952,94.46144375610352,311.8699560514982,1.0,34.40591138006651,SIGNAL_EXIT
2019-11-05,2019-11-12,90.54845818328856,88.64426870727539,326.5437328876144,1.0,-650.7473700254183,SIGNAL_EXIT
2019-11-27,2019-12-04,90.14005305480956,88.61179998779296,320.7733278215875,1.0,-518.6471240268053,SIGNAL_EXIT
2019-12-18,2020-01-28,89.84075045013427,91.93297652435302,316.01288278732494,1.0,632.1183882219971,SIGNAL_EXIT
2020-02-03,2020-02-26,100.63052877807615,98.41548593902588,203.84047093668244,0.7072449789567421,-471.5764344582065,SIGNAL_EXIT
2020-03-25,2020-03-26,96.13053462219237,95.00489847564697,148.59998436393028,0.5,-181.38724020409958,SIGNAL_EXIT
2020-03-27,2020-03-30,96.6395422668457,96.04536087799072,146.8240681617081,0.5,-101.34189934982756,SIGNAL_EXIT
2020-03-31,2020-04-02,98.31571627807617,94.98691873168946,143.7516621304708,0.5,-492.17470763725487,SIGNAL_EXIT
2020-04-07,2020-09-09,100.95635476684569,159.98935610961914,137.53201986846378,0.5,8096.924254266155,SIGNAL_EXIT
2020-10-02,2020-10-05,157.83918479919433,157.13471543884276,183.71110604190855,0.8050787787974595,-158.28623773367252,SIGNAL_EXIT
2020-10-06,2020-10-07,158.40824999999998,156.59325,186.7666511615007,0.825628062774982,-368.2278687551137,SIGNAL_EXIT
2020-10-08,2020-10-22,161.41074595642087,159.33400625610352,184.9828827686448,0.8425055766069003,-413.63536032512565,SIGNAL_EXIT
2020-11-06,2020-11-10,165.39722662353515,154.59625607299805,185.69364762590746,0.876694011982965,-2034.3791621287442,SIGNAL_EXIT
